GC,Classes,A,,B
-XX:+UseG1GC,512,82347.415,85495.963,
-XX:+UseG1GC,1024,88511.508,89923.485,
-XX:+UseG1GC,2048,96810.656,96059.627,
-XX:+UseG1GC,4096,141301.849,150240.068,
-XX:+UseG1GC,8192,195173.177,201627.039,
-XX:+UseG1GC,16384,281659.955,298562.421,
-XX:+UseParallelGC,512,132763.93,116936.728,
-XX:+UseParallelGC,1024,137012.143,131977.224,
-XX:+UseParallelGC,2048,140431.489,127283.167,
-XX:+UseParallelGC,4096,145742.885,175704.67,
-XX:+UseParallelGC,8192,211552.146,216867.22,
-XX:+UseParallelGC,16384,258416.523,279413.348,
-XX:+UseSerialGC,512,105376.887,118698.743,
-XX:+UseSerialGC,1024,112842.041,128536.843,
-XX:+UseSerialGC,2048,149082.004,184937.746,
-XX:+UseSerialGC,4096,241521.448,285403.618,
-XX:+UseSerialGC,8192,332818.9,400295.427,
-XX:+UseSerialGC,16384,422579.16,529251.544,
